8.47547	6662	6330
8.47606	6330	5999
8.47665	5999	5667
8.47724	5667	5335
8.47783	5335	4288
8.48077	4288	5896
8.48743	5896	6432
8.49525	6432	6968
8.50366	6968	7504
8.51192	7504	8040
8.52018	8040	8576
8.52962	8576	9112
8.569	9112	9648
8.66264	9648	10184
8.73582	10184	10720
8.83064	10720	11256
8.905	11256	11792
9.001	11792	12328
9.097	12328	12864
9.21464	12864	13400
9.31182	13400	13936
9.36139	13936	536
9.36803	536	1072
9.36803	1072	2680
9.38323	2680	3216
9.40841	3216	3752
9.43241	3752	4288
9.47923	4288	4824
9.50441	4824	5360
9.55241	5360	5896
9.60041	5896	6432
9.64841	6432	6968
9.69738	6968	7504
9.76841	7504	8040
9.83923	8040	8576
9.88938	8576	9112
9.96138	9112	9648
10.0552	9648	10184
10.1284	10184	10720
10.2232	10720	11256
10.2974	11256	11792
10.3934	11792	12328
10.4894	12328	12864
10.6072	12864	13400
10.7044	13400	13936
10.8232	13936	14472
10.9432	14472	15008
11.0392	15008	2464
11.0398	2464	1928
11.0404	1928	1392
11.041	1392	1072
11.0414	1072	856
11.0459	856	1072
11.0459	1072	3752
11.0632	3752	4288
11.0884	4288	4824
11.1352	4824	5360
11.1614	5360	5896
11.2094	5896	6432
11.2574	6432	6968
11.3272	6968	7504
11.3774	7504	8040
11.4232	8040	2464
11.4238	2464	1928
11.4244	1928	1392
11.425	1392	1072
11.4254	1072	856
11.4299	856	1072
11.4299	1072	2680
11.4472	2680	3216
11.4712	3216	3752
11.4964	3752	4288
11.5444	4288	1392
11.545	1392	1072
11.5454	1072	856
11.5511	856	1072
11.5511	1072	2680
11.5672	2680	3216
11.5912	3216	3752
11.6164	3752	4288
11.6632	4288	4824
11.7107	4824	3000
11.7112	3000	2464
11.7118	2464	1928
11.7124	1928	1392
11.713	1392	1072
11.7134	1072	856
11.7173	856	1072
11.7173	1072	3216
11.7374	3216	3752
11.7832	3752	4288
11.8084	4288	4824
11.8552	4824	5360
11.8814	5360	5896
11.9294	5896	6432
11.9774	6432	6968
12.0472	6968	7504
12.0974	7504	8040
12.1684	8040	8576
12.2392	8576	9112
12.3112	9112	9648
12.3844	9648	10184
12.4574	10184	10720
12.5524	10720	11256
12.6472	11256	11792
